title,series_type,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes
For the Broken Hearted,MOVIE,2018,,92,drama,PH,tt9074344,6.7,94
Sugar Rush,MOVIE,2019,,120,"action, comedy",GB,tt11430264,6.7,90
Mau Nieto: viviendo sobrio\\u2026 desde el bar,MOVIE,2018,,57,comedy,MX,tt7607492,6.7,80
Ujala,MOVIE,1959,,142,"romance, crime, drama",IN,tt0157132,6.7,78
Ojukokoro (Greed),MOVIE,2016,,110,"comedy, thriller, crime",NG,tt6660922,6.7,62
Menahi,MOVIE,2008,,100,comedy,,tt9600178,6.7,51
Kasanova,MOVIE,2019,,115,"romance, drama",NG,tt10887282,6.7,43
Pili Fantasy: War of Dragons,SHOW,2019,TV-14,0,"animation, action, fantasy",,tt10619658,6.7,37
Charlie and the Chocolate Factory,MOVIE,2005,PG,106,"fantasy, comedy, family","GB, US, AU",tt0367594,6.6,465995
Quantum of Solace,MOVIE,2008,PG-13,106,"thriller, action","GB, US",tt0830515,6.6,441023
Bird Box,MOVIE,2018,R,124,"thriller, drama, horror, scifi",US,tt2737304,6.6,325194
The Other Guys,MOVIE,2010,,107,"crime, action, comedy",US,tt1386588,6.6,263019
Project X,MOVIE,2012,R,88,comedy,US,tt1636826,6.6,204959
Eagle Eye,MOVIE,2008,PG-13,118,"thriller, action, european","US, DE",tt1059786,6.6,185430
Enola Holmes,MOVIE,2020,PG-13,123,"crime, drama, action",US,tt7846844,6.6,160806
Puss in Boots,MOVIE,2011,PG,79,"comedy, animation, family, fantasy, action",US,tt0448694,6.6,156144
The Old Guard,MOVIE,2020,R,125,"fantasy, action, thriller",US,tt7556122,6.6,155135
Hush,MOVIE,2016,R,82,"horror, thriller",US,tt5022702,6.6,123667
Tears of the Sun,MOVIE,2003,R,121,"drama, thriller, war, action",US,tt0314353,6.6,121066
Wild Things,MOVIE,1998,R,108,"drama, thriller, crime, european",US,tt0194542,6.6,118811
Monster House,MOVIE,2006,PG,91,"fantasy, animation, comedy, family",US,tt0385880,6.6,114942
Home,MOVIE,2015,PG,95,"fantasy, scifi, comedy, family, animation",US,tt2224026,6.6,100705
Jackass: The Movie,MOVIE,2002,R,88,"action, comedy, documentation",US,tt0322802,6.6,92305
Penguins of Madagascar,MOVIE,2014,PG,92,"comedy, animation, family, scifi",US,tt1911658,6.6,88708
I'm Thinking of Ending Things,MOVIE,2020,R,134,"thriller, fantasy, drama",US,tt7939766,6.6,79921
21 Bridges,MOVIE,2019,R,99,"action, drama, crime, thriller",US,tt8688634,6.6,64117
The Replacements,MOVIE,2000,PG-13,118,"comedy, sport",US,tt0191397,6.6,64087
Quantico,SHOW,2015,TV-14,43,"drama, thriller, crime",US,tt4428122,6.6,60305
Adrift,MOVIE,2018,PG-13,96,"thriller, drama, romance, action, european","HK, IS, US",tt6306064,6.6,54750
Annie,MOVIE,1982,PG,127,"drama, family, comedy",US,tt0083564,6.6,44866
Z Nation,SHOW,2014,TV-14,43,"action, drama, scifi, comedy, horror, romance",US,tt3843168,6.6,36059
Malcolm & Marie,MOVIE,2021,R,106,"drama, romance",US,tt12676326,6.6,35760
Cowboy Bebop,SHOW,2021,TV-MA,45,"scifi, comedy, crime, drama, fantasy, action",US,tt1267295,6.6,35427
Fatherhood,MOVIE,2021,PG-13,109,"drama, comedy","US, CA",tt4733624,6.6,34661
Midnight Sun,MOVIE,2018,PG-13,91,"drama, romance, european",US,tt4799078,6.6,29565
The Red Sea Diving Resort,MOVIE,2019,R,129,"thriller, drama, history","US, CA",tt6675186,6.6,28051
Zoo,SHOW,2015,TV-14,43,"drama, thriller, scifi",US,tt3250026,6.6,24479
Away,SHOW,2020,TV-14,50,"scifi, drama, romance",US,tt8787802,6.6,23706
Hellbound,SHOW,2021,TV-MA,52,"scifi, horror, thriller, crime, drama, fantasy",KR,tt12235718,6.6,22107
Brain on Fire,MOVIE,2017,PG-13,95,"drama, european","IE, CA",tt3704700,6.6,21164
"Hello, My Name Is Doris",MOVIE,2015,R,95,"romance, comedy, drama",US,tt3766394,6.6,20377
The Mirror Has Two Faces,MOVIE,1996,PG-13,126,"romance, comedy, drama",US,tt0117057,6.6,19829
Next Gen,MOVIE,2018,PG,90,"animation, action, family, scifi, comedy","CA, CN",tt7133686,6.6,16964
White Lines,SHOW,2020,TV-MA,55,"thriller, crime, drama",GB,tt9073958,6.6,16506
The Last Letter From Your Lover,MOVIE,2021,,110,"romance, drama","GB, CA",tt1893273,6.6,16302
The Angel,MOVIE,2018,,114,"thriller, action, drama","IL, MA, US, BG, GB",tt5968274,6.6,14013
The One,SHOW,2021,TV-MA,42,"crime, drama, scifi, thriller, action",GB,tt13879466,6.6,12367
Small Town Crime,MOVIE,2018,R,91,"thriller, crime",US,tt5751998,6.6,11167
Ophelia,MOVIE,2019,PG-13,106,"drama, history, romance, thriller, war","GB, US",tt5690870,6.6,10357
The Disappearance of Madeleine McCann,SHOW,2019,TV-14,59,"crime, documentation",GB,tt9879074,6.6,10286
Malang,MOVIE,2020,,135,"romance, drama, thriller, action, crime",IN,tt9877170,6.6,10149
Vivah,MOVIE,2006,,175,"drama, family, romance",IN,tt0494290,6.6,9793
The Dirty Picture,MOVIE,2011,,144,"drama, comedy",IN,tt1954206,6.6,9522
Blame!,MOVIE,2017,PG-13,106,"scifi, thriller, animation, action, drama",JP,tt6574146,6.6,7968
Pandora,MOVIE,2016,R,136,"drama, action, thriller",KR,tt6302160,6.6,7304
Flavors of Youth,MOVIE,2018,PG-13,74,"drama, animation, romance","CN, JP",tt8176578,6.6,7206
The Berlin File,MOVIE,2013,,120,"thriller, action",KR,tt2357377,6.6,7103
Chris Rock: Tamborine,MOVIE,2018,,64,"comedy, documentation",US,tt8005338,6.6,6816
Naruto: Ninja Clash in the Land of Snow,MOVIE,2004,PG-13,82,"comedy, action, animation, fantasy",JP,tt0476680,6.6,6759
Cem Y\\u0131lmaz: Diamond Elite Platinum Plus,MOVIE,2021,,94,comedy,TR,tt16444502,6.6,6680
Anjaam,MOVIE,1994,,146,"thriller, romance, drama",IN,tt0109134,6.6,6465
Blue Miracle,MOVIE,2021,,95,"drama, family","MX, US",tt7084386,6.6,6432
Bluffmaster!,MOVIE,2005,PG,137,"drama, comedy, romance, thriller, crime",IN,tt0476527,6.6,6313
Greenhouse Academy,SHOW,2017,TV-PG,23,drama,US,tt6076336,6.6,5967
Romeo Akbar Walter,MOVIE,2019,,139,"thriller, drama, action",IN,tt8550208,6.6,5728
La R\\351volution,SHOW,2020,TV-MA,46,"drama, fantasy, thriller, action",FR,tt13044528,6.6,5512
Crazy About Her,MOVIE,2021,,102,"comedy, romance",ES,tt11698630,6.6,5435
Bombay Talkies,MOVIE,2013,PG-13,127,drama,IN,tt2797242,6.6,5372
Dil,MOVIE,1990,,172,"romance, comedy, drama",IN,tt0099429,6.6,5273
Dare Me,SHOW,2019,TV-MA,43,"thriller, crime, reality",US,tt2983222,6.6,5098
Elisa & Marcela,MOVIE,2019,,118,"romance, drama, european",ES,tt6704898,6.6,4593
The Game,SHOW,2006,TV-14,22,"comedy, drama, sport, romance",US,tt10020984,6.6,4417
Capitani,SHOW,2019,TV-MA,28,"thriller, crime, drama",LU,tt10483610,6.6,4355
The Awakening of Motti Wolkenbruch,MOVIE,2018,,94,"comedy, drama, european","CH, DE",tt4766630,6.6,4255
Skater Girl,MOVIE,2021,PG,107,"drama, family, sport","IN, US",tt6964940,6.6,4180
Bon Cop Bad Cop 2,MOVIE,2017,,126,"crime, action, comedy",CA,tt4738174,6.6,4126
The Minions of Midas,SHOW,2020,TV-MA,53,"crime, drama, thriller",ES,tt10147520,6.6,4065
Luv Shuv Tey Chicken Khurana,MOVIE,2012,PG,140,comedy,IN,tt2186933,6.6,3905
Arahan,MOVIE,2004,,114,"thriller, fantasy, action, comedy",KR,tt0404777,6.6,3813
Divine Intervention,MOVIE,2002,,92,"drama, comedy, romance, war","PS, FR, MA, DE",tt0274428,6.6,3598
Tigertail,MOVIE,2020,PG,91,drama,US,tt8902948,6.6,3540
Tidying Up with Marie Kondo,SHOW,2019,TV-PG,34,reality,US,tt8115560,6.6,3529
Accident,MOVIE,2009,R,89,thriller,HK,tt1202514,6.6,3284
Aziz Ansari: Live at Madison Square Garden,MOVIE,2015,,58,comedy,US,tt4530184,6.6,3247
Lunatics,SHOW,2019,TV-MA,36,comedy,US,tt8164794,6.6,3136
The Indian Detective,SHOW,2017,,43,"comedy, drama, crime",CA,tt5797220,6.6,3078
Fatima,MOVIE,2020,PG-13,113,"drama, war","PT, US",tt2197936,6.6,3032
Traitors,SHOW,2019,TV-MA,50,"war, thriller",GB,tt7371896,6.6,3020
Mixtape,MOVIE,2021,,94,"comedy, drama, family, romance",US,tt1587420,6.6,3000
The Chase,MOVIE,2017,,110,"thriller, crime, drama",KR,tt8088944,6.6,2957
Neymar: The Perfect Chaos,SHOW,2022,TV-MA,55,"documentation, sport","BR, US",tt16428640,6.6,2907
Iliza Shlesinger: Confirmed Kills,MOVIE,2016,,77,comedy,US,tt6081882,6.6,2865
The Lost Pirate Kingdom,SHOW,2021,TV-MA,43,"documentation, drama, history",US,tt14057360,6.6,2702
Life's Speed Bump,MOVIE,2006,,110,"drama, romance, comedy",EG,tt1010422,6.6,2693
The Soul,MOVIE,2021,,130,"scifi, thriller, drama","CN, TW",tt13598976,6.6,2676
Modest Heroes,MOVIE,2018,PG,53,"fantasy, animation, drama, family, comedy",JP,tt8223844,6.6,2646
High-Rise Invasion,SHOW,2021,TV-MA,25,"action, horror, scifi, thriller, animation",JP,tt13357164,6.6,2575
You vs. Wild,SHOW,2019,TV-PG,20,"action, reality",US,tt10044952,6.6,2570
The Edge of All We Know,MOVIE,2020,,99,documentation,US,tt11863046,6.6,2288
Fate/Apocrypha,SHOW,2017,TV-14,24,"action, scifi, animation, drama, fantasy",JP,tt6424454,6.6,2259
Connected,MOVIE,2008,,110,"thriller, action, crime","CN, HK",tt1156506,6.6,2256
I Am Woman,MOVIE,2020,,116,"drama, romance, history, music",AU,tt9185316,6.6,2205
Perfect Bid: The Contestant Who Knew Too Much,MOVIE,2017,,72,"documentation, history",CA,tt6854248,6.6,2176
Hot Girls Wanted: Turned On,SHOW,2017,TV-MA,47,documentation,US,tt6333104,6.6,2168
The Unjust,MOVIE,2010,,119,"thriller, drama, action, crime",KR,tt1843120,6.6,2139
The Most Unknown,MOVIE,2018,,92,documentation,US,tt8126390,6.6,2067
The Last Shaman,MOVIE,2017,,83,"documentation, drama, family, european","GB, US, IL, IT, PE",tt6080156,6.6,1865
The Adventures of Puss in Boots,SHOW,2015,TV-Y7,23,"family, animation, comedy, fantasy, western, action",US,tt3807034,6.6,1696
The Cabin with Bert Kreischer,SHOW,2020,TV-MA,27,"reality, comedy",,tt13148876,6.6,1637
