title,series_type,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes
Khawatir,SHOW,2005,TV-14,20,reality,,tt3062514,9.6,3046
Breaking Bad,SHOW,2008,TV-MA,48,"drama, thriller, crime",US,tt0903747,9.5,1727694
Avatar: The Last Airbender,SHOW,2005,TV-Y7,24,"scifi, family, fantasy, animation, action",US,tt0417299,9.3,297336
Kota Factory,SHOW,2019,TV-MA,42,"drama, comedy",IN,tt9432978,9.3,66985
Our Planet,SHOW,2019,TV-G,50,documentation,GB,tt9253866,9.3,41386
Reply 1988,SHOW,2015,TV-14,95,"comedy, drama, family, romance",KR,tt5182866,9.2,6557
My Mister,SHOW,2018,TV-14,79,"drama, family",KR,tt7923710,9.2,5481
Who Rules The World,SHOW,2022,TV-PG,44,"drama, fantasy, romance",CN,tt14950036,9.2,81
Arcane,SHOW,2021,TV-14,41,"action, scifi, drama, fantasy, animation",US,tt11126994,9.1,175412
The Last Dance,SHOW,2020,TV-MA,50,"documentation, history, sport",US,tt8420184,9.1,108321
Attack on Titan,SHOW,2013,TV-MA,24,"scifi, action, drama, fantasy, horror, animation",JP,tt2560140,9,325381
DEATH NOTE,SHOW,2006,TV-14,24,"scifi, animation, crime, drama, fantasy, thriller",JP,tt0877057,9,302147
Hunter x Hunter,SHOW,2011,TV-14,23,"drama, action, comedy, crime, animation, documentation, family, fantasy",JP,tt2098220,9,87857
David Attenborough: A Life on Our Planet,MOVIE,2020,PG,83,documentation,GB,tt11989890,9,31180
C/o Kancharapalem,MOVIE,2018,PG,152,drama,IN,tt7391996,9,6562
Leah Remini: Scientology and the Aftermath,SHOW,2016,TV-14,46,"documentation, history",US,tt6244192,9,5761
Okupas,SHOW,2000,TV-MA,40,"crime, drama",AR,tt0289649,9,2326
No Longer Kids,MOVIE,1979,,235,"comedy, drama",EG,tt8312792,9,943
"Raja, Rasoi Aur Anya Kahaniyaan",SHOW,2014,,29,"history, documentation",IN,tt6953924,9,327
Seinfeld,SHOW,1989,TV-PG,24,comedy,US,tt0098904,8.9,302700
When They See Us,SHOW,2019,TV-MA,74,"drama, history, crime",US,tt7137906,8.9,114127
Cowboy Bebop,SHOW,1998,TV-14,25,"western, action, scifi, thriller, animation, comedy, drama",JP,tt0213338,8.9,112887
Heartstopper,SHOW,2022,TV-14,28,"drama, romance",GB,tt10638036,8.9,28978
Still Game,SHOW,2002,TV-14,29,"comedy, european",GB,tt0281491,8.9,7539
Inception,MOVIE,2010,PG-13,148,"scifi, music, thriller, action","GB, US",tt1375666,8.8,2268288
Forrest Gump,MOVIE,1994,PG-13,142,"drama, romance, comedy",US,tt0109830,8.8,1994599
Black Mirror,SHOW,2011,TV-MA,59,"scifi, thriller, drama, european",GB,tt2085059,8.8,515577
Peaky Blinders,SHOW,2013,TV-MA,58,"drama, crime, european",GB,tt2442560,8.8,485506
Better Call Saul,SHOW,2015,TV-MA,49,"comedy, drama, crime",US,tt3032476,8.8,404920
Narcos,SHOW,2015,TV-MA,52,"drama, thriller, crime",US,tt2707408,8.8,404486
BoJack Horseman,SHOW,2014,TV-MA,26,"drama, comedy, animation",US,tt3398228,8.8,143584
One Piece,SHOW,1999,TV-14,23,"action, comedy, animation, drama, fantasy",JP,tt0388629,8.8,112586
Monty Python's Flying Circus,SHOW,1969,TV-14,30,"comedy, european",GB,tt0063929,8.8,72895
Chappelle's Show,SHOW,2003,TV-14,21,"comedy, music",US,tt0353049,8.8,62140
The Untamed,SHOW,2019,TV-14,44,"action, comedy, romance, drama, fantasy, horror",CN,tt10554898,8.8,5963
Hospital Playlist,SHOW,2020,TV-14,90,"comedy, drama",KR,tt11769304,8.8,4836
Navillera,SHOW,2021,,64,drama,KR,tt13885302,8.8,2024
Stories by Rabindranath Tagore,SHOW,2015,TV-PG,43,drama,IN,tt4853764,8.8,1295
Sky Tour: The Movie,MOVIE,2020,,94,"documentation, music",,tt12486200,8.8,1036
StoryBots Super Songs,SHOW,2016,TV-Y,21,"animation, family",US,tt6163070,8.8,167
Stranger Things,SHOW,2016,TV-14,52,"scifi, drama, fantasy, horror, thriller",US,tt4575572,8.7,989090
House of Cards,SHOW,2013,TV-MA,52,drama,US,tt1856010,8.7,494092
Dark,SHOW,2017,TV-MA,56,"scifi, crime, drama, thriller",DE,tt5753856,8.7,354443
Arrested Development,SHOW,2003,TV-MA,28,comedy,US,tt0367279,8.7,297552
Downton Abbey,SHOW,2010,TV-14,58,"drama, romance, european",GB,tt1606375,8.7,197744
The Crown,SHOW,2016,TV-MA,56,"drama, history, european","US, GB",tt4786824,8.7,190878
One-Punch Man,SHOW,2015,TV-PG,24,"action, fantasy, scifi, animation, comedy",JP,tt4508902,8.7,148386
Demon Slayer: Kimetsu no Yaiba,SHOW,2019,TV-MA,25,"animation, scifi, action, fantasy, thriller, horror",JP,tt9335498,8.7,88265
Friday Night Lights,SHOW,2006,TV-14,43,"drama, sport",US,tt0758745,8.7,64449
Code Geass: Lelouch of the Rebellion,SHOW,2006,TV-14,24,"scifi, animation, action, drama, thriller, war",JP,tt0994314,8.7,62367
Anne with an E,SHOW,2017,TV-G,46,"drama, family",CA,tt5421602,8.7,51001
Bo Burnham: Inside,MOVIE,2021,R,87,"comedy, drama, music, reality",US,tt14545352,8.7,44074
Anbe Sivam,MOVIE,2003,,160,"comedy, drama",IN,tt0367495,8.7,20595
Greatest Events of WWII in Colour,SHOW,2019,,50,"documentation, history, war",GB,tt9103932,8.7,8508
Tear Along the Dotted Line,SHOW,2021,TV-14,19,"drama, comedy, animation",IT,tt15614372,8.7,7595
Mr. Sunshine,SHOW,2018,TV-MA,76,"drama, action, history, romance, war",KR,tt7094780,8.7,6855
Twenty Five Twenty One,SHOW,2022,TV-14,76,"drama, romance",KR,tt17513352,8.7,4081
Dave Chappelle,SHOW,2017,,60,"comedy, documentation",US,tt6963504,8.7,2753
Lenox Hill,SHOW,2020,TV-MA,50,documentation,US,tt12190580,8.7,2276
Vientos de agua,SHOW,2006,TV-MA,72,drama,"ES, AR",tt0459724,8.7,1034
Puffin Rock,SHOW,2015,TV-Y,11,"animation, family, comedy, european",IE,tt3590338,8.7,891
Rubaru Roshni,MOVIE,2019,,110,documentation,IN,tt9663460,8.7,584
A Lion in the House,MOVIE,2006,,225,documentation,US,tt0492472,8.7,312
Bye Bye London,MOVIE,1982,,170,"comedy, drama",KW,tt10130668,8.7,154
Saving Private Ryan,MOVIE,1998,R,169,"drama, war",US,tt0120815,8.6,1346020
The Queen's Gambit,SHOW,2020,TV-MA,56,"drama, sport",US,tt10048342,8.6,406350
Mindhunter,SHOW,2017,TV-MA,53,"crime, drama, thriller",US,tt5290382,8.6,261429
Shameless,SHOW,2011,TV-MA,54,"drama, comedy",US,tt1586680,8.6,230243
The Haunting of Hill House,SHOW,2018,TV-MA,58,"drama, scifi, horror, thriller",US,tt6763664,8.6,226817
Cobra Kai,SHOW,2018,TV-14,31,"action, comedy, drama, sport",US,tt7221388,8.6,163858
Making a Murderer,SHOW,2015,TV-14,62,"crime, documentation",US,tt5189670,8.6,93456
Sacred Games,SHOW,2018,TV-MA,50,"action, thriller, crime, drama",IN,tt10810630,8.6,85088
Trailer Park Boys,SHOW,2001,TV-MA,25,"comedy, crime",CA,tt0290988,8.6,41791
Formula 1: Drive to Survive,SHOW,2019,TV-MA,38,"documentation, sport",GB,tt8289930,8.6,36661
Wentworth,SHOW,2013,TV-MA,46,"drama, crime, thriller",AU,tt2433738,8.6,21747
It's Okay to Not Be Okay,SHOW,2020,TV-MA,76,"drama, comedy, romance",KR,tt12451520,8.6,21104
The Great British Baking Show,SHOW,2010,TV-PG,57,"reality, european",GB,tt1877368,8.6,9564
Shtisel,SHOW,2013,TV-14,48,drama,IL,tt3069894,8.6,6958
Signal,SHOW,2016,TV-MA,71,"crime, scifi, thriller, drama, fantasy",KR,tt5332206,8.6,6338
Move to Heaven,SHOW,2021,TV-MA,52,drama,KR,tt11052470,8.6,5307
Love on the Spectrum,SHOW,2019,TV-14,42,"reality, documentation, romance",AU,tt11904786,8.6,5210
Middleditch & Schwartz,SHOW,2020,TV-MA,51,comedy,US,tt12027034,8.6,5147
Norm Macdonald Has a Show,SHOW,2018,,35,comedy,US,tt8139862,8.6,3473
SKY Castle,SHOW,2018,TV-MA,68,drama,KR,tt9151274,8.6,2835
Midnight Diner,SHOW,2009,TV-MA,27,"drama, comedy",JP,tt1882928,8.6,2110
Incomplete Life,SHOW,2014,TV-14,73,"drama, comedy",KR,tt4240730,8.6,1883
Merku Thodarchi Malai,MOVIE,2018,,122,drama,IN,tt7794052,8.6,1810
"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",MOVIE,2020,,44,documentation,CA,tt12004838,8.6,1357
Daughters of Destiny,SHOW,2017,,0,documentation,IN,tt1877895,8.6,900
Moving Art,SHOW,2014,,28,"documentation, family",US,tt6953912,8.6,442
Numberblocks,SHOW,2017,TV-Y,5,animation,GB,tt7978538,8.6,198
In Our Mothers' Gardens,MOVIE,2021,,84,documentation,US,tt14369930,8.6,124
Regiment Diaries,SHOW,2018,TV-PG,42,documentation,,tt9642576,8.6,80
Age of Rebellion,SHOW,2018,TV-MA,83,"drama, romance, crime",TW,tt8931836,8.6,49
A Second Chance,MOVIE,2015,,130,"romance, drama, family, sport, documentation",PH,tt5226380,8.6,47
Supernatural,SHOW,2005,TV-14,45,"scifi, thriller, drama, fantasy, horror",US,tt0460681,8.5,428639
Ozark,SHOW,2017,TV-MA,60,"crime, thriller, drama",US,tt5071412,8.5,278223
Community,SHOW,2009,TV-PG,23,comedy,US,tt1439629,8.5,252564
The IT Crowd,SHOW,2006,TV-14,25,"comedy, european",GB,tt0487831,8.5,147409
The Last Kingdom,SHOW,2015,TV-MA,55,"action, war, drama, history, european",GB,tt4179452,8.5,126473
After Life,SHOW,2019,TV-MA,28,"comedy, drama",GB,tt8398600,8.5,124972
Schitt's Creek,SHOW,2015,TV-14,22,comedy,CA,tt3526078,8.5,112537
Neon Genesis Evangelion,SHOW,1995,TV-14,24,"scifi, action, drama, thriller, fantasy, animation",JP,tt0112159,8.5,64727
ERASED,SHOW,2016,TV-14,22,"drama, animation, fantasy, scifi, thriller",JP,tt5249462,8.5,42699
Call the Midwife,SHOW,2012,TV-PG,56,"drama, history, european",GB,tt1983079,8.5,25562
Borgen,SHOW,2010,TV-MA,58,"drama, european",DK,tt1526318,8.5,23523
Delhi Crime,SHOW,2019,TV-MA,27,"drama, crime",IN,tt9398466,8.5,18732
Queer Eye,SHOW,2018,TV-14,47,reality,US,tt7259746,8.5,18147
Chef's Table,SHOW,2015,TV-MA,50,documentation,US,tt4295140,8.5,15176
Hilda,SHOW,2018,TV-Y7,25,"scifi, family, fantasy, animation, comedy, drama",GB,tt6385540,8.5,10162
Hometown Cha-Cha-Cha,SHOW,2021,TV-14,78,"comedy, romance, drama",KR,tt14518756,8.5,9987
Stranger,SHOW,2017,TV-MA,64,"drama, thriller, crime, romance, scifi, comedy",KR,tt5545948,8.5,7645
Daniel Sloss: Live Shows,SHOW,2018,TV-MA,60,comedy,US,tt8858472,8.5,3387
Bill Hicks: Revelations,MOVIE,1993,,74,"comedy, documentation",GB,tt0152183,8.5,3085
Prison Playbook,SHOW,2017,,91,"comedy, drama",KR,tt7622902,8.5,3060
Time: The Kalief Browder Story,SHOW,2017,TV-MA,22,documentation,US,tt6133034,8.5,2641
Springsteen On Broadway,MOVIE,2018,,153,"documentation, music",US,tt8716334,8.5,2178
Ashes of Love,SHOW,2018,TV-14,43,"drama, comedy, thriller, fantasy, romance",CN,tt8976346,8.5,1875
K. D.,MOVIE,2019,,119,drama,IN,tt8747560,8.5,1750
Emicida: AmarElo - It's All for Yesterday,MOVIE,2020,,89,"music, documentation",BR,tt13458600,8.5,1472
Ani... Dr. Kashinath Ghanekar,MOVIE,2018,,159,drama,IN,tt8784906,8.5,1071
Gameboys,SHOW,2020,TV-14,22,"drama, comedy, romance",PH,tt12508898,8.5,1066
The Surgeon's Cut,SHOW,2020,TV-14,50,documentation,,tt13487106,8.5,1010
El Reemplazante,SHOW,2012,TV-MA,45,drama,CL,tt2488050,8.5,755
Scissor Seven,SHOW,2018,TV-PG,15,"action, animation, comedy, drama, fantasy, romance",CN,tt11503082,8.5,297
Pecados capitales,SHOW,2002,TV-MA,43,"comedy, drama, romance",CO,tt0355119,8.5,190
Django Unchained,MOVIE,2012,R,165,"western, drama",US,tt1853728,8.4,1472668
3 Idiots,MOVIE,2009,PG-13,170,"comedy, drama",IN,tt1187043,8.4,385782
Dangal,MOVIE,2016,PG,161,"action, drama, sport",IN,tt5074352,8.4,180247
Outlander,SHOW,2014,TV-MA,60,"scifi, drama, fantasy, romance",US,tt3006802,8.4,152435
"Love, Death & Robots",SHOW,2019,TV-MA,13,"scifi, thriller, fantasy, horror, animation, action, drama, comedy",US,tt9561862,8.4,131937
The Legend of Korra,SHOW,2012,TV-Y7,23,"action, scifi, comedy, drama, family, fantasy, animation",US,tt1695360,8.4,117464
Unbelievable,SHOW,2019,TV-MA,48,"drama, crime",US,tt7909970,8.4,95658
Naruto,SHOW,2002,TV-PG,23,"scifi, comedy, animation, action, fantasy, thriller",JP,tt0409591,8.4,93980
Stargate SG-1,SHOW,1997,TV-PG,44,"scifi, drama, action","US, CA",tt0118480,8.4,90196
Narcos: Mexico,SHOW,2018,TV-MA,56,"drama, crime",US,tt8714904,8.4,80902
Maid,SHOW,2021,TV-MA,54,"drama, comedy",US,tt11337908,8.4,74955
Ash vs Evil Dead,SHOW,2015,TV-MA,30,"action, scifi, comedy, horror, fantasy, thriller",US,tt4189022,8.4,70087
The Promised Neverland,SHOW,2019,TV-MA,23,"scifi, action, thriller, drama, fantasy, horror, animation",JP,tt8788458,8.4,34730
Derry Girls,SHOW,2018,TV-MA,25,comedy,GB,tt7120662,8.4,28718
Dave Chappelle: Sticks & Stones,MOVIE,2019,R,65,comedy,US,tt10810424,8.4,25687
The Dark Crystal: Age of Resistance,SHOW,2019,TV-PG,51,"scifi, drama, animation, fantasy, family, horror, action","GB, US",tt6905542,8.4,24164
Babylon Berlin,SHOW,2017,TV-MA,49,"crime, thriller, drama, european",DE,tt4378376,8.4,23256
Top Boy,SHOW,2011,TV-MA,48,"drama, thriller, crime, european",GB,tt1830379,8.4,22420
The Dragon Prince,SHOW,2018,TV-Y7,27,"scifi, animation, action, drama, family, fantasy, thriller",US,tt8688814,8.4,21635
Black Friday,MOVIE,2004,R,143,"crime, action, drama, history",IN,tt0400234,8.4,20611
Violet Evergarden,SHOW,2018,TV-14,25,"drama, animation, scifi, fantasy, romance",JP,tt7078180,8.4,19940
Innocent,SHOW,2017,TV-14,51,"drama, crime",TR,tt6478854,8.4,17727
Trollhunters: Tales of Arcadia,SHOW,2016,TV-Y7,22,"action, scifi, fantasy, animation, comedy, drama, family",US,tt1734135,8.4,16509
Heartland,SHOW,2007,TV-PG,44,"drama, family",CA,tt1094229,8.4,15743
Vincenzo,SHOW,2021,,81,"action, comedy, crime, drama, romance",KR,tt13433812,8.4,15134
Bo Burnham: Make Happy,MOVIE,2016,,60,"comedy, music, documentation",US,tt5777636,8.4,14356
Super Deluxe,MOVIE,2019,NC-17,176,"thriller, action, comedy, crime, drama",IN,tt7019942,8.4,13680
Louis C.K.: Hilarious,MOVIE,2010,,84,comedy,US,tt1421373,8.4,11973
Car Masters: Rust to Riches,SHOW,2018,TV-PG,39,reality,US,tt8893550,8.4,10024
Julie and the Phantoms,SHOW,2020,TV-G,2,"scifi, music, comedy, drama, family, fantasy, documentation",US,tt10183988,8.4,9461
Kannathil Muthamittal,MOVIE,2002,,137,"drama, war, action",IN,tt0312859,8.4,8376
Last Chance U,SHOW,2016,TV-MA,55,"documentation, sport",US,tt5863126,8.4,6789
The Disastrous Life of Saiki K.,SHOW,2016,TV-14,10,"scifi, comedy, animation, fantasy",JP,tt6354518,8.4,6649
Hip Hop Evolution,SHOW,2016,TV-MA,48,"documentation, music",CA,tt6319696,8.4,5772
Abstract: The Art of Design,SHOW,2017,TV-14,45,documentation,US,tt6333098,8.4,5306
Pablo Escobar: The Drug Lord,SHOW,2012,TV-14,44,"crime, drama, history, thriller",CO,tt2187850,8.4,4923
Alone,SHOW,2015,TV-MA,48,"reality, documentation",US,tt4803766,8.4,4622
Vanished 46,SHOW,2016,TV-MA,61,"scifi, action, crime, drama, thriller",TR,tt5606154,8.4,4269
Midnight Diner: Tokyo Stories,SHOW,2016,TV-14,28,drama,JP,tt6150576,8.4,4109
James Acaster: Repertoire,SHOW,2018,TV-14,52,comedy,GB,tt7818686,8.4,3545
Single Slipper Size - 7,MOVIE,2019,,120,"drama, thriller",IN,tt10370116,8.4,3073
March Comes in Like a Lion,SHOW,2016,TV-PG,25,"drama, animation, comedy, romance",JP,tt6074794,8.4,2586
Harishchandrachi Factory,MOVIE,2009,G,96,"comedy, drama",IN,tt1524539,8.4,2464
Eternal Love,SHOW,2017,TV-14,45,"scifi, drama, fantasy, romance, family",CN,tt6488862,8.4,2214
Falling Into Your Smile,SHOW,2021,TV-14,44,"drama, comedy, romance",CN,tt11290960,8.4,2019
Our Planet: Behind the Scenes,MOVIE,2019,,63,documentation,"US, GB",tt10746342,8.4,1672
Headspace Guide to Meditation,SHOW,2021,TV-G,22,"documentation, animation",US,tt13617024,8.4,1540
The Rise of Phoenixes,SHOW,2018,TV-14,45,"drama, history, romance",CN,tt7052634,8.4,1477
I'm Glad I Did,MOVIE,2020,,123,documentation,TR,tt15139398,8.4,1387
Ask the Storybots,SHOW,2016,TV-Y,26,"animation, comedy, family",US,tt5846856,8.4,870
Twogether,SHOW,2020,,0,reality,,tt12486430,8.4,456
Madness in the Desert,MOVIE,2004,,141,documentation,IN,tt0417528,8.4,373
Molang,SHOW,2015,TV-G,3,"animation, comedy, family, european",FR,tt6046238,8.4,346
A Touch of Green,SHOW,2015,TV-MA,46,"family, drama, war",TW,tt5231950,8.4,314
My Liberation Notes,SHOW,2022,TV-14,62,"drama, romance",KR,tt15146130,8.4,276
The Haunted House,SHOW,2016,TV-PG,25,"thriller, fantasy, horror, animation, comedy, drama, family",KR,tt9518312,8.4,71
Running Man,SHOW,2017,,11,"animation, comedy",KR,tt11256118,8.4,32
MaveriX,SHOW,2022,,23,"sport, family",AU,tt15373864,8.4,31
Taxi Driver,MOVIE,1976,R,113,"crime, drama",US,tt0075314,8.3,795222
Full Metal Jacket,MOVIE,1987,R,116,"drama, war","GB, US",tt0093058,8.3,723306
Money Heist,SHOW,2017,TV-MA,50,"crime, drama, thriller, action, european",ES,tt6468322,8.3,450797
Once Upon a Time in America,MOVIE,1984,R,229,"drama, crime, european","US, IT",tt0087843,8.3,342335
Sex Education,SHOW,2019,TV-MA,52,"drama, comedy",GB,tt7767422,8.3,251168
Like Stars on Earth,MOVIE,2007,PG,165,"drama, family",IN,tt0986264,8.3,188234
The Originals,SHOW,2013,TV-14,43,"scifi, drama, fantasy, horror",US,tt2632424,8.3,131574
30 Rock,SHOW,2006,TV-14,25,"comedy, sport",US,tt0496424,8.3,121514
Atypical,SHOW,2017,TV-14,31,"comedy, drama",US,tt6315640,8.3,81643
Master of None,SHOW,2015,TV-MA,32,"drama, comedy",US,tt4635276,8.3,72341
Castlevania,SHOW,2017,TV-MA,26,"scifi, drama, fantasy, horror, animation, action",US,tt6517102,8.3,61114
Kingdom,SHOW,2019,TV-MA,48,"action, thriller, drama, scifi, horror, history",KR,tt6611916,8.3,43760
Longmire,SHOW,2012,TV-14,53,"western, action, crime, drama",US,tt1836037,8.3,34362
Young Royals,SHOW,2021,TV-MA,45,"drama, romance",SE,tt14664414,8.3,26732
Fauda,SHOW,2015,TV-MA,40,"war, thriller, action, drama",IL,tt4565380,8.3,25239
Winter on Fire: Ukraine's Fight for Freedom,MOVIE,2015,,98,documentation,"UA, GB, US",tt4908644,8.3,17710
Gurren Lagann,SHOW,2007,TV-14,24,"scifi, action, comedy, drama, animation",JP,tt0948103,8.3,17024
Kim's Convenience,SHOW,2016,TV-14,22,comedy,CA,tt5912064,8.3,16970
Call My Agent!,SHOW,2015,TV-MA,55,"comedy, drama, european",FR,tt4277922,8.3,13331
Bo Burnham: What.,MOVIE,2013,,60,"comedy, music, documentation",US,tt3210258,8.3,11488
Puella Magi Madoka Magica,SHOW,2011,TV-14,24,"scifi, thriller, animation, drama, fantasy",JP,tt1773185,8.3,9055
Kuroko's Basketball,SHOW,2012,TV-14,24,"animation, comedy, sport",JP,tt2348803,8.3,8052
Bill Burr: I'm Sorry You Feel That Way,MOVIE,2014,,80,"comedy, documentation",US,tt3823690,8.3,7954
Last Tango in Halifax,SHOW,2012,TV-14,59,"comedy, drama, romance, european",GB,tt2216156,8.3,6844
Violet Evergarden: The Movie,MOVIE,2020,PG,140,"fantasy, romance, animation, drama",JP,tt8652818,8.3,5631
Taylor Swift: Reputation Stadium Tour,MOVIE,2018,PG-13,125,"documentation, music",US,tt9426852,8.3,5293
Kipo and the Age of Wonderbeasts,SHOW,2020,TV-Y7,24,"animation, action, comedy, family, fantasy, scifi",US,tt10482560,8.3,5293
Offspring,SHOW,2010,,44,"drama, comedy",AU,tt1530541,8.3,4764
Cuba and the Cameraman,MOVIE,2017,,113,documentation,"CU, US",tt7320560,8.3,4715
Five Came Back,SHOW,2017,TV-MA,65,"war, documentation, history",US,tt6587094,8.3,4600
Arthdal Chronicles,SHOW,2019,,80,"drama, action, romance, fantasy, history",KR,tt8750956,8.3,4200
Kath & Kim,SHOW,2002,,24,comedy,AU,tt0272397,8.3,4168
Zach Stone Is Gonna Be Famous,SHOW,2013,TV-PG,20,comedy,US,tt1748277,8.3,3616
Forged in Fire,SHOW,2015,TV-PG,42,reality,US,tt4680444,8.3,3538
November 13: Attack on Paris,SHOW,2018,TV-MA,54,documentation,FR,tt8194716,8.3,3105
Last Chance U: Basketball,SHOW,2021,TV-MA,60,"documentation, sport",US,tt13087512,8.3,2429
Alma Matters: Inside the IIT Dream,SHOW,2021,TV-MA,51,"drama, documentation",IN,tt14512938,8.3,2323
"Hello, My Twenties!",SHOW,2016,TV-14,63,"comedy, drama, romance",KR,tt5858892,8.3,2127
Welcome to Waikiki,SHOW,2018,TV-MA,64,"drama, comedy, reality",KR,tt7890304,8.3,2038
Tales by Light,SHOW,2015,,27,documentation,AU,tt5350276,8.3,1905
Black Butler,SHOW,2008,TV-MA,25,"scifi, fantasy, animation, comedy, drama, thriller, crime, horror, action",JP,tt1316554,8.3,1856
Rilakkuma and Kaoru,SHOW,2019,TV-PG,12,"comedy, drama, family, animation",JP,tt9348716,8.3,1579
Heaven Official's Blessing,SHOW,2020,TV-14,24,"action, scifi, animation","CN, US",tt13375866,8.3,1349
Live,SHOW,2018,,46,"drama, comedy, crime",KR,tt12094726,8.3,1208
Mallesham,MOVIE,2019,,131,drama,IN,tt9742362,8.3,1036
La Ni\\361a,SHOW,2016,TV-MA,45,"action, drama",CO,tt5677942,8.3,642
Love is Color Blind,MOVIE,2021,,115,"romance, comedy",PH,tt15979132,8.3,465
Hikaru Utada Laughter in the Dark Tour 2018,MOVIE,2019,G,141,"documentation, music",JP,tt10556746,8.3,81
Frontiers of Dreams and Fears,MOVIE,2001,,56,"documentation, history",PS,tt0477653,8.3,54
The Creative Indians,SHOW,2016,TV-MA,28,documentation,US,tt9583184,8.3,45
Booba: Food Puzzle,SHOW,2020,TV-Y,3,"animation, comedy, family",,tt12319946,8.3,30
The Walking Dead,SHOW,2010,TV-MA,46,"action, drama, scifi, thriller, horror",US,tt1520211,8.2,945125
Monty Python and the Holy Grail,MOVIE,1975,PG,91,"comedy, fantasy",GB,tt0071853,8.2,530877
The Witcher,SHOW,2019,TV-MA,58,"scifi, action, drama, fantasy, horror",US,tt5180504,8.2,465949
Warrior,MOVIE,2011,PG-13,140,"drama, action, sport",US,tt1291584,8.2,463276
PK,MOVIE,2014,PG-13,153,"comedy, drama, romance, fantasy, scifi",IN,tt2338151,8.2,178012
Sense8,SHOW,2015,TV-MA,62,"scifi, thriller, drama",US,tt2431438,8.2,151518
The Good Place,SHOW,2016,TV-14,23,"scifi, comedy, romance, drama, fantasy",US,tt4955642,8.2,148562
Gilmore Girls,SHOW,2000,TV-14,46,"comedy, drama",US,tt0238784,8.2,119054
B\\u0101hubali 2: The Conclusion,MOVIE,2017,,168,"fantasy, action, drama",IN,tt4849438,8.2,91560
Andhadhun,MOVIE,2018,R,139,"thriller, music, drama, comedy, crime",IN,tt8303792,8.2,88359
Drishyam,MOVIE,2015,R,163,"thriller, crime, drama",IN,tt4430212,8.2,79075
Queen,MOVIE,2014,PG-13,146,"drama, comedy",IN,tt3322420,8.2,64805
Grace and Frankie,SHOW,2015,TV-MA,30,"comedy, drama",US,tt3609352,8.2,48435
Miracle in Cell No. 7,MOVIE,2019,,132,drama,TR,tt10431500,8.2,46939
The Kominsky Method,SHOW,2018,TV-MA,26,"drama, comedy",US,tt7255502,8.2,38232
Paan Singh Tomar,MOVIE,2012,PG,135,"drama, sport, thriller, action, crime",IN,tt1620933,8.2,35888
13th,MOVIE,2016,,100,"documentation, history, crime",US,tt5895028,8.2,34914
Article 15,MOVIE,2019,,130,"crime, drama, thriller",IN,tt10324144,8.2,32336
Cowspiracy: The Sustainability Secret,MOVIE,2014,,90,documentation,US,tt4344904,8.2,24845
The Get Down,SHOW,2016,TV-MA,62,"drama, music",US,tt4592410,8.2,22304
Locked Up,SHOW,2015,TV-MA,50,"drama, thriller, action, comedy, european",ES,tt4524056,8.2,21388
Caliphate,SHOW,2020,TV-MA,48,"war, crime, drama, thriller",SE,tt11398870,8.2,17735
One Day at a Time,SHOW,2017,TV-PG,29,"comedy, drama",US,tt5339440,8.2,15669
anohana: The Flower We Saw That Day,SHOW,2011,TV-PG,23,"drama, fantasy, romance, animation",JP,tt1913273,8.2,12682
Fate/Zero,SHOW,2011,TV-MA,25,"scifi, action, animation, drama, fantasy, thriller",JP,tt2051178,8.2,12568
Itaewon Class,SHOW,2020,TV-MA,69,"drama, romance",KR,tt11239552,8.2,12030
Virunga,MOVIE,2014,,90,"war, documentation","CD, GB",tt3455224,8.2,11403
Ouran High School Host Club,SHOW,2006,TV-14,23,"comedy, drama, animation, romance",JP,tt0816397,8.2,9763
Food Wars! Shokugeki no Soma,SHOW,2015,TV-MA,24,"animation, comedy, drama, fantasy, thriller",JP,tt0417325,8.2,9651
The Blue Elephant 2,MOVIE,2019,,130,"thriller, crime, drama, horror",,tt10635720,8.2,9475
Hotel Del Luna,SHOW,2019,TV-14,80,"action, comedy, drama, fantasy, horror, romance, scifi",KR,tt10220588,8.2,7832
Vagabond,SHOW,2019,TV-MA,61,"drama, action, thriller, romance",KR,tt8523042,8.2,7544
Bill Burr: You People Are All The Same,MOVIE,2012,R,68,comedy,US,tt2290153,8.2,7370
Patriot Act with Hasan Minhaj,SHOW,2018,TV-MA,25,comedy,US,tt8080054,8.2,7222
Hasan Minhaj: Homecoming King,MOVIE,2017,,72,"comedy, documentation",US,tt6900940,8.2,7120
John Mulaney: New in Town,MOVIE,2012,,58,"comedy, documentation",US,tt2246779,8.2,6608
Kiss the Ground,MOVIE,2020,,84,documentation,US,tt8618654,8.2,6607
Little Things,SHOW,2016,TV-MA,25,"comedy, drama, romance",IN,tt6522580,8.2,6461
Dragons: Race to the Edge,SHOW,2015,TV-Y7,22,"animation, action, scifi, family, comedy, drama, fantasy",US,tt4816058,8.2,6161
Something in the Rain,SHOW,2018,TV-MA,70,"drama, romance",KR,tt8078816,8.2,5654
Club de Cuervos,SHOW,2015,TV-MA,44,"comedy, drama",MX,tt4680240,8.2,5514
Disclosure,MOVIE,2020,,107,documentation,US,tt8637504,8.2,5301
The Chef Show,SHOW,2019,TV-MA,26,documentation,US,tt10359446,8.2,5025
